event_id         	 tags                                         	 date         	 duration	 title                                   	 summary
party-compass-000	 party;the-compass-edge                       	 4327/10/15-09	        0	 The Compass Edge Forms                  	 Bazgar, Sabriel, and Marwen first met at the Wayward Compass in Ardenford, traded names and first impressions, and agreed to take their first contract together.
party-compass-001	 party;the-compass-edge                       	 4327/10/15-12	        0	 Resting Corwin Caldor                   	 The party fought off skeletons, identified Renn’s grandfather, Corwin Caldor, and successfully returned his intact remains to the watchtower. After burying him, they received payment from Renn before seeking further work.
party-compass-002	 battle;party;the-compass-edge                	 4327/10/15-15	        0	 Goblin Raid Resolution                  	 The party defeated the goblin ambush, with Marwen incinerating several foes and Sabriel providing healing. They spared one goblin who fled, then returned to the farmer to receive payment and bonus cheese for the rescued sheep, concluding the job.
party-compass-003	 party;the-compass-edge                       	 4327/10/15-22	        0	 Tavern Brawl with Imperium Traders      	 After a late-night bonding session, the party faced escalating tensions with Imperium traders. Bazgar initiated a brawl, knocking out several traders before Thorgrim enforced peace with free beer, allowing the party to rest undisturbed.
party-compass-006	 party;the-compass-edge                       	 4327/10/16-09	        0	 Consultation with Elarion the Elf       	 Marwen approached Elarion, the elf librarian, to seek guidance on ruins, dwarf guides, and local shops. With valuable directions and recommendations received, the party concluded their conversation and prepared to continue their errands.
party-compass-004	 party;the-compass-edge                       	 4327/10/16-12	        0	 Confrontation with Giant Spider         	 The party stealthily approached a web-covered camp, negotiated with a giant spider, and killed a hatching spiderling. After stabilizing a worker, they destroyed the spider eggs, and prepared to return to Ardenford for payment.
party-compass-005	 lore;ardenhaven;party;the-compass-edge       	 4327/10/16-16	        0	 Shopping and Research in Ardenhaven     	 The party completed their shopping in Ardenford’s local shops, acquiring items including a discounted Sleep scroll and replacement throwing axes. Marwen stole an uncatalogued holy book during her research at the Concordance Library, successfully evading detection.
party-compass-007	 party;the-compass-edge;battle                	 4327/10/17-09	        0	 Mara’s Chase Through the Tunnels        	 The party hired an Oathhold dwarf guide and reached hidden ancient tunnels, finding a recently used room marked “MARA.” Mara attacked and pursued Marwen; the party fled as the bridge snapped, injuring Bazgar and Marwyn while Mara halted at the chasm.
party-compass-008	 party;the-compass-edge                       	 4327/10/17-12	        0	 Alarmed Rest and Sabriel’s Return       	 The party retreated deeper into the ruins, set an Alarm, and took a short rest. Sabriel rejoined them after seemingly teleporting back, and they examined the blank book and noted its unsettling, off-brand magical feel.
party-compass-009	 party;the-compass-edge;elderholt             	 4327/10/17-14	        2	 Marwyn Warned of Mara                   	 Marwyn revealed Mara was a dangerous Elderholt deep witch and explained the difference between ward witches and deep witches and the cost of their bargains. The party accepted the danger and agreed they needed to escape and seek help.
party-compass-010	 party;the-compass-edge                       	 4327/10/18-12	        0	 Pool Mechanism Unlocked and Drained     	 After defeating the construct, the party investigated the pool’s purpose and workings. As Mara’s scratching drew near, they released the drain and escaped through the opening.
party-compass-011	 party;the-compass-edge                       	 4327/10/18-14	        0	 Climb Toward Faint Daylight             	 Swept through a tunnel, the party reached a cavern shore and found an upward path. They climbed to a higher plateau where faint daylight shone far above.
party-compass-012	 party;the-compass-edge                       	 4327/10/18-16	        0	 Cinder Appeased, Crow Dispatched        	 The party negotiated with an offended Cinder and restored working terms. They sent the crow with a note to fetch Kargrimdur and rope.
party-compass-013	 party;the-compass-edge;lore                  	 4327/10/18-22	        0	 Rope Escape and Extended Camp           	 After hours passed, Kargrimdur lowered a secured rope and helped the party climb out. They then camped for several days to a week, ate rations, completed long rests, and watched occasional travelers pass.
party-compass-014	 party;the-compass-edge                       	 4327/10/21-14	        5	 Elder Marith Arrives                    	 The party waited at camp as Elder Marith arrived on Cinder and confirmed Mara was lost with no return. Cinder choose to continue to serve Marwen over returning with Marith.
party-compass-015	 party;the-compass-edge                       	 4327/10/27-09	        0	 Bazger makes friends                    	 At the writ board, Bazgar fought off an orc attacker before a short human intervened. Two members of the Blacker Ledger. 
party-compass-016	 party;the-compass-edge;lore                  	 4327/10/27-11	        0	 Meeting the Black Ledger                	 The party fought off the Black Ledger in The Shades, stabilized the injured loan shark, and returned for payment. 
party-compass-017	 party;the-compass-edge                       	 4327/10/27-13	        0	 Framed                                  	 The party learned they were framed for the the murder of Calderwick; They prove their innocence to Lord Mayor Ranwald; they learn The Imperium was invovled. 
party-compass-018	 party;the-compass-edge;location;lore         	 4327/10/27-13	        0	 Aersiliel                               	 The party avoided Aersiliel and her guards in town. Sabriel meets and greets, Aersiliel shared Elaerith's displeasure.   
party-compass-019	 party;the-compass-edge;battle;deep-fall-ruins	 4327/10/28-10	        0	 Derro's Warm Welcome                    	 The party was ambushed by a derro foe-party; they party defeats them; there leader retrated into the water passage. 
party-compass-020	 party;the-compass-edge;ancient               	 4327/10/28-11	        0	 Chain Warden Avoided; Fizz Bit Recruited	 The party spotted a chain-construct guarding an ancient house and managed to sneak past it. During their escape they found Fizz Bit, a stranded gnome wizard; he agreed to split loot 50/50 in exchange for being saved and joined the party.   
