event_id    	 tags             	 date      	 duration	 title                            	 summary
merrgate-001	 merrowgate;public	 4177      	        0	 The Charter of Open Waters       	 Merrowgate brokers a historic neutrality pact between Calderon Imperium and Ardenhaven, securing safe passage through its waters for all nations. The treaty establishes Merrowgate as the undisputed arbiter of maritime trade disputes.
merrgate-002	 merrowgate       	 4179/03   	       45	 The Maskers' Succession Crisis   	 Guild Master Valen Shadeweave dies without naming a successor. Three candidates vie for control of the Maskers' Guild, each commanding different identity networks. The crisis resolves when the Shadow Ledgers themselves "choose" the winner—later revealed to be the Silent Patron's influence.
merrgate-003	 merrowgate;public	 4182      	        0	 The Scriveners' Reformation      	 The Ink unveils new contract-binding enchantments that can enforce agreements across national borders. This innovation makes Merrowgate contracts the gold standard for international trade, tripling the city's arbitration revenue within five years.
merrgate-004	 merrowgate       	 4185/07/12	        3	 The Foundling House Fire         	 A mysterious fire destroys the western Foundling House, killing seventeen children and three guild trainers. Officially ruled an accident, whispers suggest it was retribution for a failed assassination trained there. The guild quietly rebuilds and tightens security.
merrgate-005	 merrowgate       	 4188      	        0	 The Face-Broker Purge            	 The Maskers' Guild discovers a ring of rogue Face-Brokers selling identities to enemies of the state. Twelve brokers are "unmasked" in a public ceremony, their true faces revealed before exile. The event serves as a brutal reminder of guild authority.
merrgate-006	 merrowgate;public	 4191      	        0	 The Garhammar Accords            	 Merrowgate mediates a trade dispute between Garhammar Trade League and Calderon Imperium over arms exports. The resulting framework becomes the template for international weapons trade regulation, cementing Merrowgate's role as neutral ground.
merrgate-007	 merrowgate       	 4194/11   	      180	 The Silent Vault Renovation      	 The rumored shrine to the Silent Patron undergoes extensive "renovation" that lasts six months. No workers are seen entering or leaving, yet the building transforms overnight. Citizens report strange dreams of contracts being rewritten in golden ink.
merrgate-008	 merrowgate       	 4198/02/23	        1	 The Ledger Court Assassination   	 A prominent Calderon diplomat is murdered during contract negotiations. The Silent Coin resolves the matter within hours—the assassin is found dead of apparent suicide, and a convenient scapegoat confession surfaces. The negotiations proceed as scheduled.
merrgate-009	 merrowgate;public	 4201      	        0	 The Thousand Ships Insurance     	 Following a devastating hurricane season, Merrowgate guilds establish the world's first comprehensive maritime insurance system. Within a decade, no merchant vessel sails without a Merrowgate policy.
merrgate-010	 merrowgate       	 4203/08   	       30	 The Undercurrent Expansion       	 The Undercurrent publicly announces new "trade facilitation services" that operate in gray legal zones. Privately, this marks their transformation into the city's primary smuggling coordination network, now operating with official sanction.
