event_id	tags	date	duration	title	summary
imperial-wars	conflict;calderon-imperium;ardenhaven	4150	18245	Imperial Wars	Decades of total war between Calderon legions and the Haven coalition.
imperial-wars	public;conflict;calderon-imperium;ardenhaven	4150	18245	Imperial Wars	State chronicles insist the wars were righteous crusades for order.
pentarch-accords	conflict;diplomacy;calderon-imperium;ardenhaven;garrok-confederation	4200	0	Pentarch Accords	The treaty web that forced Calderon to stand down and formalized modern borders.
pentarch-accords	public;conflict;diplomacy;calderon-imperium;ardenhaven;garrok-confederation	4200	0	Pentarch Accords	Historians teach this as the first time the great powers agreed to open councils.
mysterious-barrier	secrets;elderholt;merrowgate	4315	0	Elderholt Veil Project	Elderholt shrouds a sea lane with layered wards to mask Axiom pulses.
party-first-contract	trade;party;merrowgate	4326/11/12	0	The Silent Ledger Job	The party brokered their first major contract inside Merrowgate.
party-first-contract	private;party;trade;merrowgate	4326/11/12	0	The Silent Ledger Job	We secured Masker credentials and a line of credit at the Ledger Court.
ironstead-first-marches	conflict;calderon-imperium;ardenhaven	4150	0	The First Marches	Calderon legions press west in disciplined columns, forcing Ardenhaven to militarize its councils.
ironstead-first-marches	public;conflict;calderon-imperium;ardenhaven	4150	0	The First Marches	The first great marches that began the long border wars.
ash-road-engineer-corps	infrastructure;military;calderon-imperium	4152	3280	Ash Road Corps	Imperial engineers build rapid roads, bridges, and signal spines to keep the legions supplied.
ash-road-engineer-corps	public;infrastructure;military;calderon-imperium	4152	3280	Ash Road Corps	An imperial works project that reshaped marches and trade routes.
battle-of-hawkridge	conflict;battle;calderon-imperium;ardenhaven	4156	0	Battle of Hawkridge	A hillside clash that ended with Ardenite militia holding the ridge long enough to evacuate farms.
battle-of-hawkridge	public;conflict;battle;calderon-imperium;ardenhaven	4156	0	Battle of Hawkridge	A hard-fought battle remembered for smoke, mud, and stubborn defense.
siege-of-ardenford	conflict;siege;calderon-imperium;ardenhaven	4161	725	Siege of Ardenford	A failed encirclement that taught Ardenhaven to fight wars of bridges, ferries, and supply denial.
siege-of-ardenford	public;conflict;siege;calderon-imperium;ardenhaven	4161	725	Siege of Ardenford	The siege that turned Ardenford into a symbol of endurance.
merrowgate-neutrality-proclamation	trade;diplomacy;merrowgate;calderon-imperium;ardenhaven	4162	0	Neutrality Proclamation	Merrowgate declares the port neutral, offering contracts to both sides while forbidding banners in its streets.
merrowgate-neutrality-proclamation	public;trade;diplomacy;merrowgate;calderon-imperium;ardenhaven	4162	0	Neutrality Proclamation	Merrowgate claims neutrality and opens its courts to all signatories.
garrok-ardenic-treaty	conflict;diplomacy;garrok-confederation;ardenhaven	4165	0	The Ardenic Treaties	Garrok and Ardenhaven agree to mutual defense and limited trade under oathfire law.
garrok-ardenic-treaty	public;conflict;diplomacy;garrok-confederation;ardenhaven	4165	0	The Ardenic Treaties	A treaty that proved oaths could bind stronger than crowns.
battle-of-stonebridge	conflict;battle;calderon-imperium;ardenhaven	4168	0	Battle of Stonebridge	A decisive river crossing where Ardenhaven lost the bridge but bought time for the western refugees.
battle-of-stonebridge	public;conflict;battle;calderon-imperium;ardenhaven	4168	0	Battle of Stonebridge	The crossing that split the countryside and sent refugees west.
winter-levy-riots	unrest;ardenhaven	4171	0	Winter Levy Riots	Food and conscription quotas spark unrest in outlying districts; the Council narrowly avoids a crack-down.
winter-levy-riots	public;unrest;ardenhaven	4171	0	Winter Levy Riots	A winter of hunger and protests remembered in bitter songs.
grain-crisis	economy;unrest;ardenhaven;merrowgate	4173	725	The Grain Crisis	Smuggling and price spikes nearly collapse winter stores; reformers use the scandal to break a cartel.
grain-crisis	public;economy;unrest;ardenhaven;merrowgate	4173	725	The Grain Crisis	A famine scare and corruption scandal that hardened the Council against profiteers.
garhammar-charter-revolt	dwarves;politics;dulgarum-oathholds;garhammar-trade-league	4182	0	The Charter Revolt	Dissident dwarves fracture from oathbound rule and begin writing charters that treat capital as votes.
garhammar-charter-revolt	public;dwarves;politics;dulgarum-oathholds;garhammar-trade-league	4182	0	The Charter Revolt	A dwarven split that birthed a charter-led guild polity.
garhammar-arms-accords	trade;war;garhammar-trade-league;calderon-imperium;ardenhaven	4188	2185	The Arms Accords	Garhammar sells arms and machines across enemy lines, profiting from neutrality without innocence.
garhammar-arms-accords	public;trade;war;garhammar-trade-league;calderon-imperium;ardenhaven	4188	2185	The Arms Accords	Contracts that ensured no side ever fully ran out of steel.
ironstead-stalemate	conflict;battle;calderon-imperium;ardenhaven	4199	0	The Ironstead Stalemate	A final season of blood and mud ends without victory, forcing the first serious ceasefire talks.
ironstead-stalemate	public;conflict;battle;calderon-imperium;ardenhaven	4199	0	The Ironstead Stalemate	The battle that proved no one could win cleanly.
border-survey-commission	diplomacy;infrastructure;calderon-imperium;ardenhaven;merrowgate	4201	1090	Border Survey Commission	Surveyors and scribes attempt to turn ruined marches into lines on maps and lines in law.
border-survey-commission	public;diplomacy;infrastructure;calderon-imperium;ardenhaven;merrowgate	4201	1090	Border Survey Commission	A commission that drew new borders and made old ones real.
ardenhaven-council-reform	politics;ardenhaven	4203	0	Council Reforms	The Council expands committee powers and formalizes petitions to prevent wartime emergency rule from becoming permanent.
ardenhaven-council-reform	public;politics;ardenhaven	4203	0	Council Reforms	Reforms that promised citizens a stronger voice after the war.
calderon-censorate-reform	law;bureaucracy;calderon-imperium	4206	1090	Censorate Reform	The Imperium tightens registries and permits, turning paperwork into a weapon as sharp as any spear.
calderon-censorate-reform	public;law;bureaucracy;calderon-imperium	4206	1090	Censorate Reform	A sweeping registry reform that made the Imperium more predictable—and harder to evade.
merrowgate-forgery-purge	crime;trade;merrowgate	4210	0	The Forgery Purge	Merrowgate consolidates identity trade under a single compact; rival forgers vanish into canals and courts.
merrowgate-forgery-purge	public;crime;trade;merrowgate	4210	0	The Forgery Purge	A crackdown that ended an era of amateur counterfeiters.
merrowgate-silent-compact-renewal	secrets;trade;merrowgate	4230	0	The Silent Compact Renewed	Contracts quietly shift overnight, aligning policy with an unseen hand that the Council refuses to name.
merrowgate-silent-compact-renewal	public;secrets;trade;merrowgate	4230	0	The Harbor Charter Renewal	A routine renewal of harbor charters and trade privileges.
calderon-silent-cohort-tests	secrets;military;calderon-imperium	4240	1090	Silent Cohort Trials	A sealed program tests doctrines and arcana meant to suppress panic and dissent with minimal visible force.
calderon-silent-cohort-tests	public;secrets;military;calderon-imperium	4240	1090	Cohort Discipline Trials	A modernization cycle focused on drills, logistics, and signal discipline.
rakthok-border-raids	conflict;raids;rakthok-horde;calderon-imperium	4245	1090	Border Raids of 4245	Shamanic visions drive cycles of raids and reprisals along the marches; neither side admits how close it gets to open war.
rakthok-border-raids	public;conflict;raids;rakthok-horde;calderon-imperium	4245	1090	Eastern Border Raids	Years of raids blamed on "barbarian unrest" along the eastern marches.
dulgarum-breachgate-reinforcement	dwarves;defense;dulgarum-oathholds	4251	1455	Breachgate Reinforcements	Dulgarum quietly doubles Deep Watch rotations and seals a collapsed gate with new runic stonework.
dulgarum-breachgate-reinforcement	public;dwarves;defense;dulgarum-oathholds	4251	1455	Deep Gate Reinforcements	Dwarven holds invest heavily in fortifications and sealed tunnels.
ardenhaven-refugee-resettlement	recovery;politics;ardenhaven	4255	1820	Refugee Resettlement Program	Ardenhaven creates land grants and work crews to turn camps into towns—slowly, messily, and at cost.
ardenhaven-refugee-resettlement	public;recovery;politics;ardenhaven	4255	1820	Refugee Resettlement Program	A long resettlement effort that rebuilt districts and created new tensions.
