Name	Race	Pattern	Origin	Type	Notes
Serithael	Elf	Elven-Soft	Araethilion	PC	Nicole's character (Ser+ith+ael)
Ashford	Human	Human-Geography	Elderholt	PC	Kristine's character (Ash+ford)
Baz'gar	Orc	Orc-Punchy	Rakthok Horde	PC	Jeff's character (Baz+gar); of Dakmar'nak tribe
Merrowlyn	Human	Human-Geography	Merrowgate	NPC	Black Ledger leader (Merrow+lyn variant)
Ardenwick	Human	Human-Geography	Ardenhaven	NPC	Black Ledger fighter
Thornholt	Human	Human-Geography	Elderholt	NPC	Black Ledger warlock
Barkar-dun	Dwarf	Dwarf-Heavy	Garhammar	NPC	Black Ledger artificer
Zor'gar	Orc	Orc-Punchy	Garrok	NPC	Black Ledger barbarian
Ravenholt	Human	Human-Geography	Ardenhaven	NPC	Shardrunners sorcerer
Torford	Human	Human-Geography	Thorndale	NPC	Shardrunners rogue; from livestock village
Fizzbit Tangle	Gnome	Gnome-Whimsy	Merrowgate	NPC	Shardrunners artificer; gnomes not in conventions
Oakwick	Human	Human-Geography	Calstead	NPC	Shardrunners cleric; from grain farming village
Ug'nak	Orc	Orc-Punchy	Rakthok	NPC	Shardrunners druid; "of Rak'thokhar" is origin
Ironholt	Human	Human-Geography	Ardenhaven	NPC	Inkbound Charter ranger
Glendale	Human	Human-Geography	Ardenhaven	NPC	Inkbound Charter bard
Thrumgar	Dwarf	Dwarf-Heavy	Dulgarum	NPC	Inkbound Charter fighter
Suri Copperpin	Gnome	Gnome-Whimsy	Merrowgate	NPC	Inkbound Charter wizard; gnomes not in conventions
Redwick	Human	Human-Geography	Calstead	NPC	Inkbound Charter rogue; from grain farming village
Wolfridge	Human	Human-Geography	Ironridge	NPC	Lantern Wardens fighter; from mountain mining town
Brightford	Human	Human-Geography	Ardenhaven	NPC	Lantern Wardens cleric
Khargrim-dun	Dwarf	Dwarf-Heavy	Dulgarum	NPC	Lantern Wardens fighter
Pipwick Thistle	Gnome	Gnome-Whimsy	Merrowgate	NPC	Lantern Wardens rogue; gnomes not in conventions
Lucan Varro	Human	Calderon-Style	Calderon Imperium	NPC	Lantern Wardens wizard; foreign naming convention
Barnaby	Human	Human-Geography	Ardenhaven	NPC	Messenger runner for the Wayward Compass
Mokdur	Dwarf	Dwarf-Heavy	Garhammar	NPC	Compass-wright at the Wayward Compass; maintains tools and navigation gear
