event_id 	 tags                                                              	 date      	 duration	 title                        	 summary
arden-001	 calderon-imperium;conflict;diplomacy;ardenhaven                   	 4110      	        0	 The Border Provocations Begin	 Calderon Imperium begins systematic political and territorial pressure on Ardenhaven city-states. What starts as diplomatic disputes over border towns quickly escalates to armed skirmishes. The Ardenhaven city-states respond individually, uncoordinated and vulnerable.
arden-002	 ardenhaven;calderon-imperium;conflict;diplomacy                   	 4128      	        0	 The Failed Unity Talks       	 Delegates from twelve Ardenhaven city-states meet to discuss unified response to Calderon aggression. The talks collapse due to historical rivalries, trade disputes, and distrust. Each city-state returns home believing they can negotiate separately with Calderon.
arden-003	 calderon-imperium;conflict;law;ardenhaven                         	 4145      	        0	 The Annexation Crisis        	 Calderon Imperium legally annexes three southern Ardenhaven towns through coerced treaties and purchased loyalties. The affected city-states appeal to their neighbors for military aid. None respond. This moment becomes a rallying cry in later years: "When they came for the border towns, we stood alone."
arden-004	 calderon-imperium;conflict;battle;ardenhaven                      	 4167/06   	       14	 The Farmland Massacres       	 Calderon forces burn harvest fields across disputed territories, destroying food stores for winter. Hundreds of farming families are killed or displaced. The atrocity galvanizes public opinion—Calderon is no longer seen as a negotiating partner but as an existential threat.
arden-005	 ardenhaven;government;diplomacy                                   	 4172/11   	       90	 The Unification Debates      	 Facing mounting Calderon pressure, Ardenhaven city-states convene emergency talks lasting three months. Bitter debates over sovereignty, military command, taxation, and governance nearly collapse into violence. Ultimately, survival outweighs pride: they agree to act as one federation, preserving local governance but pooling military and diplomatic authority.
arden-006	 ardenhaven;government;law;public                                  	 4173/02/15	        0	 The Compact of Unity         	 Five Ardenhaven city-states sign the Compact of Unity, creating a federated republic. Each city-state retains internal governance but surrenders war-making power to a unified Council of Consuls. Merrowgate, invited to join, formally declines and declares perpetual neutrality.
arden-007	 calderon-imperium;battle;conflict;ardenhaven;public               	 4193/04   	        0	 Calderon's Declaration       	 Calderon Imperium issues formal declaration of conquest: all Ardenhaven lands are claimed as imperial territory, and continued resistance will be met with total war. The language is unambiguous—there will be no negotiated peace, only submission or annihilation. The 7-year war begins.
arden-008	 ardenhaven;battle;conflict                                        	 4194/08   	      365	 The Year of Conscription     	 Ardenhaven enacts unprecedented mass mobilization. Every able-bodied person—men, women, youth old enough to hold weapons—is called to service. Those with nursing children are exempted; everyone else fights. Entire towns empty. Fields go unplowed. The choice is simple: fight now or lose everything.
arden-009	 ardenhaven;calderon-imperium;battle                               	 4196/05   	       90	 The Plains of Ash            	 Three months of brutal attrition warfare across the central plains. No heroes, no decisive victories—just endless waves of soldiers meeting in fields of mud and blood. Casualties on both sides are catastrophic. The plains are later named for the funeral pyres that burned for weeks.
arden-010	 calderon-imperium;battle;ardenhaven                               	 4198/09   	      120	 The Siege of the Granaries   	 Calderon forces lay siege to Ardenhaven's primary grain storage fortresses. Both sides suffer mass starvation. The siege breaks not through valor but through mutual exhaustion—neither army has the strength to continue. The granaries are left ruined and empty, a monument to futility.
arden-011	 ardenhaven;calderon-imperium;conflict                             	 4199/12   	       60	 The Winter of Graves         	 Fighting pauses during the harshest winter in decades. Both sides bury their dead—tens of thousands on each side. Mass graves are dug across the contested territories. Survivors on both sides recognize the war cannot be won by either nation. Whispers of peace begin, though neither government admits defeat.
arden-012	 ardenhaven;calderon-imperium;merrowgate;diplomacy                 	 4200/03   	      120	 The Merrowgate Mediation     	 Exhausted and bleeding, both Ardenhaven and Calderon Imperium accept Merrowgate's offer to mediate peace talks. The negotiations are tense, bitter, and slow. Four months of debate over borders, reparations, and recognition. Both sides cling to pride while accepting reality: continuation means mutual destruction.
