event_id                                       	 tags                                                               	 date	 duration	 title                                 	 summary
rakthok-soulless-measure-frontier              	 calderon-imperium;crime;rakthok-horde                              	 4212	        0	 The Soulless Measure the Frontier     	 calderon-imperium surveyors and clerks arrive first—stakes, ink, and cold smiles. They name Garrok soil "unused" and call the living marsh "waste."
rakthok-iron-ledger-takes-fields               	 calderon-imperium;conflict;rakthok-horde                           	 4215	        0	 The Iron Ledger Takes Our Kin's Fields	 calderon-imperium seizes great swaths of garrok-confederation land and drives the orcs deeper into the swamp-lows. They do it with paperwork and spearpoints alike—order written in blood, stamped and filed.
rakthok-blood-on-unfinished-stone              	 rakthok-horde;battle;calderon-imperium                             	 4216	        0	 Blood on Unfinished Stone             	 garrok-confederation strikes back at the calderon-imperium reach, hurling bodies against half-raised walls and wet mortar. Thousands die beneath arrows and falling stone; the Imperium counts the dead as if tallying grain.
rakthok-road-of-nails-marsh                    	 calderon-imperium;crime;rakthok-horde                              	 4217	        0	 The Road of Nails Through the Marsh   	 calderon-imperium cuts a causeway into the swamp—trees felled, reeds burned, spirit-shrines trampled flat. Every plank is a promise: they intend to stay, and they intend to make the land obey.
rakthok-quiet-cull-of-dakgar                   	 calderon-imperium;battle;rakthok-horde                             	 4218	        0	 The Quiet Cull of Dakgar              	 the Imperium's "pacifications" begin: night raids, bound captives, villages emptied for labor and "relocation." Those who flee speak of soldiers with eyes like polished iron—no rage, no mercy, only procedure.
rakthok-tribute-in-teeth                       	 calderon-imperium;economy;rakthok-horde                            	 4219	        0	 Tribute in Teeth                      	 calderon-imperium erects toll posts and ration yards, demanding "tax" for the crime of surviving on stolen ground. When the Garrok refuse, the Imperium answers with public hangings and private pits—less a war than a harvest.
rakthok-ironstead-rises-dakgar-bones           	 calderon-imperium;infrastructure                                   	 4220	        0	 Ironstead Rises on Dakgar Bones       	 calderon-imperium begins raising their capital-fortress over the barrier ground of the dakgar tribe of the garrok-confederation. They pour foundations through ancestral barrow grounds and call it progress.
rakthok-zarkul-dakgar                          	 public;rakthok-horde;crime;garhammar-trade-league;calderon-imperium	 4220	        0	 Zarkul Dakgar the Forever Cursed      	 Zarkul Dakgar barters his people's land for coin from the Garhammar Trade-League. A dispute arises with the Imperium and the now-displaced orcs, and in the subsequent conflict Zarkul is found dead, knifed in the back. Among the Horde his name is kept only as a curse: proof that gold is softer than mud, and twice as deadly.
rakthok-name-ironstead                         	 calderon-imperium;infrastructure                                   	 4222	        0	 The Name "Ironstead"                  	 calderon-imperium declares the new fortress city Ironstead as their capital and future seat, even as the walls remain hungry and incomplete. To the Imperium, a thing is true once it is written; the land is forced to agree later.
rakthok-warlord-kragath-dakgar-falls           	 rakthok-horde;battle;calderon-imperium                             	 4216	        0	 Warlord Kragath Dakgar Death          	 Kragath Dakgar led the charge up wet mortar while Imperium arrows made the air sing. The third shaft didn't stop him—he bit stone and kept climbing—until a falling block broke his ribs. Stone broke before flesh, but it was not a lesson writ large: the fortress held.
rakthok-warlord-zorgar-zhulvorg-bridge         	 rakthok-horde;battle;calderon-imperium                             	 4219	        0	 Warlord Zor'gar Zhulvorg Death        	 Zor'gar Zhulvorg hit the toll yards at dawn. When their captain tried to retreat with prisoners, Zor'gar caught him, and dragged him, his wagon, and his guards into the waters allowing the captives to escape. He drowned smiling, fingers locked on the captain's gorget.
rakthok-warlord-gruknar-dakmarnak-barrows      	 public;calderon-imperium;battle;rakthok-horde                      	 4220	        0	 Warlord Uruknar Rakthokgar Death      	 When Ironstead set its foundations deep into the old mounds at the north of the swamplands, Uruknar Rakthokgar gathered her raiders and stole into the rising fortress. Imperium sappers threw smoke and white lime to blind the charge, and crossbow bolts cracked from the haze. Gruknar died on her knees, and Ironstead rose up tall.
